s,b
0,	1.471012
1,	1.472103
2,	1.502703
3,	1.557124
4,	1.622961
5,	1.688235
6,	1.756264
7,	1.830234
8,	1.910045
9,	1.999651
10,	2.099626
11,	2.211028
12,	2.329107
13,	2.456711
14,	2.590837
15,	2.724564
16,	2.854970
17,	2.987783
18,	3.122075
19,	3.255145
20,	3.378155
21,	3.487672
22,	3.597942
23,	3.717049
24,	3.848373
25,	3.984782
26,	4.113463
27,	4.236260
28,	4.352200
29,	4.461508
30,	4.561319
31,	4.642982
32,	4.715102
33,	4.790747
34,	4.877397
35,	4.970782
36,	5.051723
37,	5.119392
38,	5.180735
39,	5.240806
40,	5.299524
41,	5.343905
42,	5.377602
43,	5.418029
44,	5.471138
45,	5.531493
46,	5.577441
47,	5.599819
48,	5.611297
49,	5.621581
50,	5.634445
51,	5.638307
52,	5.624889
53,	5.610148
54,	5.607485
55,	5.619400
56,	5.629594
57,	5.617864
58,	5.591076
59,	5.563290
60,	5.542045
61,	5.521000
62,	5.488268
63,	5.454180
64,	5.432817
65,	5.425107
66,	5.415647
67,	5.386170
68,	5.340467
69,	5.292571
70,	5.251069
71,	5.213744
72,	5.167663
73,	5.115376
74,	5.066156
75,	5.024114
