s,b
0,	1.510873
1,	1.526039
2,	1.544879
3,	1.568087
4,	1.593840
5,	1.616775
6,	1.638003
7,	1.663562
8,	1.698280
9,	1.741188
10,	1.786777
11,     1.833651
12,     1.884271
13,     1.944696
14,     2.004976
15,     2.046485
16,     2.064631
17,     2.077057
18,     2.102558
19,     2.147891
20,     2.199009
21,     2.246739
22,     2.292078
23,     2.331907
24,     2.360361
25,     2.376361
26,     2.383451
27,     2.394485
28,     2.418584
29,     2.448996
30,     2.474916
31,     2.503767
32,     2.544814
33,     2.607312
34,     2.682012
35,     2.759080
36,     2.831991
37,     2.903963
38,     2.977043
39,     3.046387
40,     3.104794
41,     3.153750
42,     3.197660
43,     3.236351
44,     3.265977
45,     3.281269
46,     3.286922
47,     3.296175
48,     3.314862
49,     3.336640
50,     3.348700
51,     3.351536
52,     3.354551
53,     3.359434
54,     3.361979
55,     3.355149
56,     3.342458
57,     3.336213
58,     3.338036
59,     3.337281
60,     3.321095
61,     3.292221
62,     3.266623
63,     3.246912
64,     3.223789
65,     3.190976
66,     3.156286
67,     3.137336
68,     3.138036
69,     3.147815
70,     3.152479
71,     3.150472
72,     3.155535
73,     3.169516
74,     3.182800
75,     3.185600
