s,a
0	,11.267920
1	,10.768628
2	,10.102330
3	,9.151591
4	,7.802680
5	,5.995871
6	,3.879226
7	,1.551384
8	,-1.051454
9	,-4.067012
10	,-7.333308
11	,-10.506835
12	,-13.379978
13	,-16.053587
14	,-18.326237
15	,-19.736717
16	,-19.629898
17	,-18.164972
18	,-16.099863
19	,-13.816398
20	,-11.219511
21	,-7.425595
22	,-1.389127
23	,7.056083
24	,16.962317
25	,26.769081
26	,35.345947
27	,42.007915
28	,46.664177
29	,49.706188
30	,51.511471
31	,52.231522
32	,52.101929
33	,51.211544
34	,49.449696
35	,46.782433
36	,43.162632
37	,38.570011
38	,33.426178
39	,28.184784
40	,23.048094
41	,18.113869
42	,13.518242
43	,9.035363
44	,4.538255
45	,0.175383
46	,-3.711950
47	,-6.627923
48	,-8.887397
49	,-10.990078
50	,-13.105976
51	,-15.016422
52	,-16.290489
53	,-17.125572
54	,-17.630068
55	,-17.502087
56	,-16.100674
57	,-13.436948
58	,-9.822470
59	,-5.811502
60	,-1.959281
61	,1.547323
62	,5.108387
63	,9.275075
64	,14.235487
65	,19.872446
66	,25.466177
67	,30.186222
68	,33.130280
69	,33.923870
70	,33.278522
71	,31.911530
72	,29.345064
73	,25.425962
74	,20.388998
75	,14.341877
